state_ut,2020,2021,2022,Mid-Year Projected Population (in Lakhs) (2022),Rate of Cognizable Crimes (SLL) (2022),Chargesheeting Rate (2022),16 to 18 Years - Male,16 to 18 Years - Female,16 to 18 Years - Transgender,16 to 18 Years - Total,18 to 30 Years - Male,18 to 30 Years - Female,18 to 30 Years - Transgender,18 to 30 Years - Total,30 to 50 Years - Male,30 to 50 Years - Female,30 to 50 Years - Transgender,30 to 50 Years - Total,50 Years & Above - Male,50 Years & Above - Female,50 Years & Above - Transgender,50 Years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
Andhra Pradesh,49108,42588,36737,530.3,69.3,96.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
Arunachal Pradesh,259,413,453,15.5,29.2,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assam,10051,13356,9622,354.9,27.1,47.4,0.0,0.0,0.0,0.0,14.0,4.0,0.0,18.0,22.0,6.0,0.0,28.0,0.0,0.0,0.0,0.0,36.0,10.0,0.0,46.0
Bihar,62814,96077,136756,1255.3,108.9,95.6,0.0,0.0,0.0,0.0,36.0,13.0,0.0,49.0,37.0,5.0,0.0,42.0,4.0,1.0,0.0,5.0,77.0,19.0,0.0,96.0
Chhattisgarh,37957,40114,47243,299.5,157.7,99.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Goa,973,892,968,15.7,61.7,95.7,0.0,0.0,0.0,0.0,7.0,2.0,0.0,9.0,69.0,10.0,0.0,79.0,8.0,1.0,0.0,9.0,84.0,13.0,0.0,97.0
Gujarat,317770,458682,389503,709.3,549.1,99.8,0.0,0.0,0.0,0.0,48.0,5.0,0.0,53.0,110.0,4.0,0.0,114.0,24.0,0.0,0.0,24.0,182.0,9.0,0.0,191.0
Haryana,89119,93711,117414,299.7,391.8,96.8,0.0,0.0,0.0,0.0,48.0,1.0,0.0,49.0,38.0,1.0,0.0,39.0,2.0,2.0,0.0,4.0,88.0,4.0,0.0,92.0
Himachal Pradesh,5827,5792,5822,74.4,78.2,95.7,0.0,0.0,0.0,0.0,31.0,3.0,0.0,34.0,62.0,11.0,0.0,73.0,15.0,1.0,0.0,16.0,108.0,15.0,0.0,123.0
Jharkhand,12537,13081,15633,391.4,39.9,82.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Karnataka,43730,47969,51281,674.1,76.1,75.8,0.0,0.0,0.0,0.0,50.0,23.0,0.0,73.0,95.0,15.0,0.0,110.0,6.0,2.0,0.0,8.0,151.0,40.0,0.0,191.0
Kerala,405625,382317,218978,356.8,613.7,99.1,0.0,0.0,0.0,0.0,32.0,3.0,0.0,35.0,43.0,4.0,0.0,47.0,1.0,0.0,0.0,1.0,76.0,7.0,0.0,83.0
Madhya Pradesh,144165,171852,190388,858.9,221.7,99.9,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,9.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,18.0,0.0,0.0,18.0
Maharashtra,144986,173582,182974,1257.4,145.5,97.7,0.0,0.0,0.0,0.0,165.0,35.0,0.0,200.0,277.0,59.0,0.0,336.0,33.0,1.0,0.0,34.0,475.0,95.0,0.0,570.0
Manipur,637,720,885,32.0,27.6,72.8,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,10.0,0.0,0.0,10.0,4.0,1.0,0.0,5.0,23.0,1.0,0.0,24.0
Meghalaya,873,756,711,33.3,21.4,72.9,0.0,0.0,0.0,0.0,20.0,3.0,0.0,23.0,13.0,2.0,0.0,15.0,4.0,0.0,0.0,4.0,37.0,5.0,0.0,42.0
Mizoram,502,729,546,12.3,44.4,97.6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,16.0,4.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,24.0
Nagaland,489,445,584,22.2,26.3,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Odisha,25697,30464,34776,460.8,75.5,95.6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0
Punjab,33005,27127,29887,306.0,97.7,94.5,0.0,0.0,0.0,0.0,22.0,12.0,0.0,34.0,50.0,11.0,0.0,61.0,7.0,0.0,0.0,7.0,79.0,23.0,0.0,102.0
Rajasthan,67099,70017,76714,804.4,95.4,93.9,0.0,0.0,0.0,0.0,26.0,7.0,0.0,33.0,18.0,4.0,0.0,22.0,3.0,1.0,0.0,4.0,47.0,12.0,0.0,59.0
Sikkim,171,196,270,6.8,39.5,98.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,485981,433901,279543,767.1,364.4,82.0,0.0,0.0,0.0,0.0,67.0,12.0,0.0,79.0,70.0,10.0,0.0,80.0,12.0,3.0,0.0,15.0,149.0,25.0,0.0,174.0
Telangana,11619,12678,13981,379.5,36.8,85.5,0.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,9.0,2.0,0.0,11.0,2.0,0.0,0.0,2.0,23.0,6.0,0.0,29.0
Tripura,643,655,879,41.2,21.3,89.8,0.0,0.0,0.0,0.0,21.0,24.0,0.0,45.0,30.0,5.0,0.0,35.0,5.0,4.0,0.0,9.0,56.0,33.0,0.0,89.0
Uttar Pradesh,302815,250177,351888,2340.9,150.3,83.8,0.0,0.0,0.0,0.0,117.0,20.0,0.0,137.0,152.0,20.0,0.0,172.0,25.0,4.0,0.0,29.0,294.0,44.0,0.0,338.0
Uttarakhand,43520,19171,17640,115.6,152.6,93.7,0.0,0.0,0.0,0.0,17.0,1.0,0.0,18.0,23.0,0.0,0.0,23.0,8.0,0.0,0.0,8.0,48.0,1.0,0.0,49.0
West Bengal,24307,24323,24036,987.6,24.3,91.8,0.0,0.0,0.0,0.0,697.0,154.0,10.0,861.0,394.0,109.0,3.0,506.0,44.0,13.0,0.0,57.0,1135.0,276.0,13.0,1424.0
Total State(S),2322279,2411785,2236112,13403.0,166.8,92.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman And Nicobar Islands,2060,946,1129,4.0,280.8,99.4,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,67.0,0.0,0.0,67.0,16.0,0.0,0.0,16.0,97.0,0.0,0.0,97.0
Chandigarh,671,594,717,12.2,58.6,96.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,9.0
Dadra And Nagar Haveli And Daman And Diu,92,89,89,12.0,7.4,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Delhi,16878,14485,19845,211.0,94.1,98.2,0.0,0.0,0.0,0.0,145.0,51.0,0.0,196.0,364.0,65.0,2.0,431.0,39.0,6.0,0.0,45.0,548.0,122.0,2.0,672.0
Jammu And Kashmir,3678,4228,4282,135.4,31.6,91.8,0.0,0.0,0.0,0.0,14.0,14.0,0.0,28.0,6.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,35.0
Ladakh,16,40,39,3.0,13.0,85.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Lakshadweep,40,39,33,0.7,47.8,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,1215,744,1321,16.2,81.5,97.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0
Total Ut (S),24650,21165,27455,394.5,69.6,96.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total All India,2346929,2432950,2263567,13797.5,164.1,92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
