Sl. No.,State/UT,Gain - Col.(3),Personal Vendetta or Enmity - Col.(4),Dowry - Col.(5),Witchcraft - Col.(6),Child/ Human Sacrifice - Col.(7),Communal/ Religious - Col.(8),Casteism - Col.(9),Class Conflict - Col.(10),For Political Reason - Col.(11),Honour Killing - Col.(12),Love Affairs - Col.(13),Illicit Relationship - Col.(14),Extremism/ Insurgency - Col.(15),During Dacoity/ Robbery - Col.(16),Gang Rivalry - Col.(17),Psychopath/Serial Killers - Col.(18),Sale of Body Parts - Col.(19),Disputes - Disputes (Total) - Col.(20),Disputes - Property/ Land Dispute - Col.(21),Disputes - Family Dispute - Col.(22),Disputes - Petty Quarrel/ Dispute - Col.(23),Disputes - Money Dispute - Col.(24),Disputes - Water Dispute - Col.(25),Disputes - Due to Accidents on Roads - Col.(26),Blind Murder/No Clue/Motive Not Known - Col.(27),Other Causes or Motive - Col.(28),Total Motives of Murder - Col.(29)
1,Andhra Pradesh,46,67,17,8,0,0,0,0,4,0,16,211,1,0,3,4,0,403,76,177,112,38,0,0,31,114,925
2,Arunachal Pradesh,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,3,8,1,0,0,4,36,56
3,Assam,13,303,29,1,0,0,0,0,1,0,29,15,0,0,0,0,0,291,121,117,38,15,0,0,66,324,1072
4,Bihar,412,804,61,0,0,2,7,50,8,1,171,132,0,1,0,0,0,980,535,261,61,114,9,0,212,89,2930
5,Chhattisgarh,20,44,9,25,0,0,0,4,0,1,54,65,38,1,0,2,0,278,64,128,66,20,0,0,42,430,1013
6,Goa,7,6,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,17,0,5,11,1,0,0,6,1,44
7,Gujarat,16,163,1,5,2,1,0,2,1,0,134,60,0,8,0,3,0,485,45,102,264,63,8,3,72,6,959
8,Haryana,26,219,9,0,0,0,1,7,1,0,21,29,0,9,8,0,0,237,60,92,48,34,2,1,72,381,1020
9,Himachal Pradesh,12,23,0,0,0,0,0,0,0,0,5,4,0,1,0,0,0,25,7,8,10,0,0,0,7,8,85
10,Jharkhand,795,228,42,11,1,0,0,0,17,4,49,40,0,0,0,0,0,282,185,38,20,34,0,5,54,27,1550
11,Karnataka,59,353,14,0,0,3,5,8,2,0,44,108,0,0,3,0,0,706,169,127,357,50,1,2,10,89,1404
12,Kerala,14,127,1,1,1,0,0,0,7,0,5,8,0,1,1,1,0,139,9,93,28,9,0,0,6,22,334
13,Madhya Pradesh,31,364,35,20,0,2,6,3,2,5,146,127,2,11,1,3,0,726,125,248,290,54,4,5,76,418,1978
14,Maharashtra,29,226,13,3,0,0,0,0,0,0,143,205,9,18,0,0,0,1130,143,379,356,246,6,0,70,449,2295
15,Manipur,1,20,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,10,2,7,1,0,0,0,4,7,47
16,Meghalaya,2,7,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,19,2,7,6,4,0,0,26,12,72
17,Mizoram,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,1,4,0,1,0,0,14,5,31
18,Nagaland,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,3,1,0,1,0,0,4,4,21
19,Odisha,25,103,252,10,0,0,0,0,8,0,68,0,0,0,0,0,0,688,101,62,330,195,0,0,0,225,1379
20,Punjab,10,46,2,0,0,0,0,0,1,4,24,49,0,11,1,0,0,401,58,120,181,38,2,2,76,45,670
21,Rajasthan,24,101,77,0,0,1,0,3,0,0,77,37,0,9,1,2,0,449,107,145,164,30,0,3,34,1019,1834
22,Sikkim,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,5,9
23,Tamil Nadu,93,188,4,0,0,0,6,0,4,0,77,126,0,0,0,6,0,1045,117,443,412,73,0,0,28,113,1690
24,Telangana,55,41,44,1,1,0,0,0,1,3,14,116,2,0,0,0,0,516,98,258,134,26,0,0,29,114,937
25,Tripura,2,43,6,0,0,0,0,0,1,0,0,5,0,1,0,0,0,37,13,19,2,3,0,0,2,12,109
26,Uttar Pradesh,78,106,13,0,1,0,2,6,1,0,253,38,0,7,14,2,7,710,226,175,264,40,3,2,68,2185,3491
27,Uttarakhand,33,19,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,12,1,5,3,3,0,0,52,59,187
28,West Bengal,55,70,322,0,0,0,0,0,0,0,28,12,0,5,0,0,0,75,22,35,8,9,0,1,1,1128,1696
Total State(S),Total State(S),1862,3679,951,85,6,10,27,83,59,18,1378,1398,55,84,34,24,7,9685,2290,3059,3175,1102,35,24,1066,7327,27838
29,Andaman and Nicobar Islands,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,0,0,0,2,7
30,Chandigarh,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,10,2,2,3,1,0,2,0,3,18
31,Dadra and Nagar Haveli and Daman and Diu,4,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,6,2,3,0,1,0,0,1,0,16
32,Delhi,12,54,0,0,1,0,0,0,0,0,16,13,0,10,3,0,0,205,14,41,112,35,1,2,5,190,509
33,Jammu and Kashmir,3,11,0,0,0,0,0,0,0,0,3,1,18,0,0,0,0,45,17,24,1,3,0,0,7,11,99
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,5
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,3,15,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,0,4,1,1,0,0,0,3,30
Total UT (S),Total UT (S),22,82,0,0,2,0,0,0,0,0,23,22,18,10,3,0,0,277,36,75,119,42,1,4,15,210,684
Total All India,Total All India,1884,3761,951,85,8,10,27,83,59,18,1401,1420,73,94,37,24,7,9962,2326,3134,3294,1144,36,28,1081,7537,28522
